iso;ccaa
ES;ESPAÑA
AN;Andalucía
AR;Aragón
AS;Asturias
CN;Canarias
CB;Cantabria
CL;Castilla y León
CM;Castilla-La Mancha
CT;Cataluña
CE;Ceuta
VC;Comunidad Valenciana
EX;Extremadura
GA;Galicia
IB;Islas Baleares
RI;La Rioja
MD;Madrid
ME;Melilla
MC;Murcia
NC;Navarra
PV;País Vasco
