CCAA Codigo ISO,Fecha,Casos ,Hospitalizados,UCI,Fallecidos,Recuperados
CM,30/03/2020,6424,3225,344,708,296
CL,30/03/2020,6211,2601,325,516,1028
CT,30/03/2020,18773,12974,1652,1672,4966
CE,30/03/2020,34,3,3,1,0
VC,30/03/2020,5508,2189,356,339,200
EX,30/03/2020,1628,371,51,133,91
GA,30/03/2020,4039,1250,149,84,187
MD,30/03/2020,27509,15140,1514,3603,9330
ME,30/03/2020,54,27,3,1,0
MC,30/03/2020,974,283,59,34,20
NC,30/03/2020,2305,1035,99,113,192
PV,30/03/2020,6320,3594,307,325,1796
RI,30/03/2020,1810,575,51,85,496
NOTA: El objetivo de los datos que se publican en esta web es saber el número de casos acumulados a la fecha y que por tanto no se puede deducir que la diferencia entre un día y el anterior es el número de casos nuevos ya que esos casos pueden haber sido recuperados de fechas anteriores Cualquier inferencia que se haga sobre las diferencias de un día para otro deben hacerse con precaución y son únicamente la responsabilidad el autor,,,,,,
