CCAA Codigo ISO,Fecha,Casos ,Hospitalizados,UCI,Fallecidos,Recuperados
MC,01/03/2020,,,,,
NC,01/03/2020,1,,,,
PV,01/03/2020,9,,,,
RI,01/03/2020,1,,,,
AN,02/03/2020,12,,,,
AR,02/03/2020,0,,,,
AS,02/03/2020,1,,,,
IB,02/03/2020,2,,,,
CN,02/03/2020,7,,,,
CB,02/03/2020,10,,,,
CM,02/03/2020,7,,,,
CL,02/03/2020,7,,,,
CT,02/03/2020,15,,,,
CE,02/03/2020,0,,,,
VC,02/03/2020,15,,,,
EX,02/03/2020,6,,,,
GA,02/03/2020,0,,,,
MD,02/03/2020,49,,,,
ME,02/03/2020,0,,,,
MC,02/03/2020,0,,,,
NC,02/03/2020,1,,,,
PV,02/03/2020,13,,,,
RI,02/03/2020,3,,,,
AN,03/03/2020,12,,,,
AR,03/03/2020,0,,,,
AS,03/03/2020,2,,,,
IB,03/03/2020,5,,,,
CN,03/03/2020,7,,,,
CB,03/03/2020,10,,,,
CM,03/03/2020,12,,,,
CL,03/03/2020,8,,,,
CT,03/03/2020,15,,,,
CE,03/03/2020,0,,,,
VC,03/03/2020,19,,,,
EX,03/03/2020,6,,,,
GA,03/03/2020,1,,,,
MD,03/03/2020,70,,,,
ME,03/03/2020,0,,,,
MC,03/03/2020,0,,,,
NC,03/03/2020,3,,,,
PV,03/03/2020,17,,,,
RI,03/03/2020,7,,,,
AN,04/03/2020,12,,,,
AR,04/03/2020,1,,,,
AS,04/03/2020,5,,,,
IB,04/03/2020,6,,,,
CN,04/03/2020,8,,,,
CB,04/03/2020,10,,,,
CM,04/03/2020,13,,,,
CL,04/03/2020,12,,,,
CT,04/03/2020,24,,,,
CE,04/03/2020,0,,,,
VC,04/03/2020,19,,,,
EX,04/03/2020,6,,,,
GA,04/03/2020,1,,,,
MD,04/03/2020,90,,,,
ME,04/03/2020,0,,,,
MC,04/03/2020,0,,,,
NC,04/03/2020,3,,,,
PV,04/03/2020,17,,,,
RI,04/03/2020,11,,,,
AN,05/03/2020,21,,,,
AR,05/03/2020,6,,,,
AS,05/03/2020,5,,,,
IB,05/03/2020,6,,,,
CN,05/03/2020,11,,,,
CB,05/03/2020,10,,,,
CM,05/03/2020,15,,,,
CL,05/03/2020,13,,,,
CT,05/03/2020,24,,,,
CE,05/03/2020,0,,,,
VC,05/03/2020,30,,,,
EX,05/03/2020,6,,,,
GA,05/03/2020,3,,,,
MD,05/03/2020,137,,,,
ME,05/03/2020,0,,,,
MC,05/03/2020,0,,,,
NC,05/03/2020,3,,,,
PV,05/03/2020,45,,,,
RI,05/03/2020,29,,,,
AN,06/03/2020,27,,,,
AR,06/03/2020,11,,,,
AS,06/03/2020,5,,,,
IB,06/03/2020,6,,,,
CN,06/03/2020,11,,,,
CB,06/03/2020,10,,,,
CM,06/03/2020,15,,,,
CL,06/03/2020,14,,,,
CT,06/03/2020,24,,,,
CE,06/03/2020,0,,,,
VC,06/03/2020,30,,,,
EX,06/03/2020,6,,,,
GA,06/03/2020,3,,,,
MD,06/03/2020,137,,,,
ME,06/03/2020,0,,,,
MC,06/03/2020,0,,,,
NC,06/03/2020,3,,,,
PV,06/03/2020,45,,,,
RI,06/03/2020,39,,,,
AN,07/03/2020,34,,,,
AR,07/03/2020,11,,,,
AS,07/03/2020,7,,,,
IB,07/03/2020,8,,,,
CN,07/03/2020,17,,,,
CB,07/03/2020,12,,,,
CM,07/03/2020,15,,,,
CL,07/03/2020,21,,,,
CT,07/03/2020,49,,,,
CE,07/03/2020,0,,,,
VC,07/03/2020,37,,,,
EX,07/03/2020,6,,,,
GA,07/03/2020,5,,,,
MD,07/03/2020,175,,,,
ME,07/03/2020,0,,,,
MC,07/03/2020,1,,,,
NC,07/03/2020,3,,,,
PV,07/03/2020,70,,,,
RI,07/03/2020,55,,,,
AN,08/03/2020,54,,1,0,11
AR,08/03/2020,13,,3,3,
AS,08/03/2020,7,,2,0,
IB,08/03/2020,11,,1,0,2
CN,08/03/2020,22,,0,0,4
CB,08/03/2020,12,,0,0,
CM,08/03/2020,26,,2,0,2
CL,08/03/2020,30,,2,0,
CT,08/03/2020,75,,0,2,
CE,08/03/2020,0,,0,0,
VC,08/03/2020,37,,1,1,1
EX,08/03/2020,7,,0,0,1
GA,08/03/2020,6,,2,0,
MD,08/03/2020,469,,53,16,
ME,08/03/2020,0,,0,0,
MC,08/03/2020,4,,0,0,
NC,08/03/2020,3,,1,0,
PV,08/03/2020,149,,5,6,2
RI,08/03/2020,81,,1,0,
AN,09/03/2020,71,,1,0,11
AR,09/03/2020,38,,3,4,0
AS,09/03/2020,22,,2,0,1
IB,09/03/2020,13,,1,0,3
CN,09/03/2020,25,,1,0,5
CB,09/03/2020,12,,0,0,
CM,09/03/2020,39,,3,0,2
CL,09/03/2020,40,,2,0,
CT,09/03/2020,124,,0,3,
CE,09/03/2020,,,0,0,
